#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-MG:SUPER{HC:750}Fld:I,750,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:751}Fld:SP,751,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:751}Fld:I,751,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S4:752}Fld:SP,752,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:752}Fld:I,752,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-BI:SUPER{BPM:754}SA:X,754,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:754}SA:Y,754,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS2:756}Fld:SP,756,V:1-SR,,,setpoint,QS2,K,Quadrupole
V:1-SR-MG:SUPER{QS2:756}Fld:I,756,V:1-SR,,,readback,QS2,K,Quadrupole
V:1-SR-MG:SUPER{S3:758}Fld:SP,758,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:758}Fld:I,758,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{HC:759}Fld:SP,759,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:759}Fld:I,759,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:760}Fld:SP,760,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:760}Fld:I,760,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{S3:761}Fld:SP,761,V:1-SR,,,setpoint,S3,K,Sextupole
V:1-SR-MG:SUPER{S3:761}Fld:I,761,V:1-SR,,,readback,S3,K,Sextupole
V:1-SR-MG:SUPER{QS1:763}Fld:SP,763,V:1-SR,,,setpoint,QS1,K,Quadrupole
V:1-SR-MG:SUPER{QS1:763}Fld:I,763,V:1-SR,,,readback,QS1,K,Quadrupole
V:1-SR-BI:SUPER{BPM:767}SA:X,767,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:767}SA:Y,767,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:770}SA:X,770,V:1-SR,,,readback,BPM,X,Beam Position Monitor
