 ElementName  ElementType     s       betax    alphax     betay    alphay      etax      etaxp     yAper     xAper  
                              m         m                   m                   m                    m         m    
--------------------------------------------------------------------------------------------------------------------
 CM1XG4C01B   HKICK        41.131200   6.211934  2.917226  17.272501  -0.901748  0.211592   -0.104553  0.005942  0.012769 
 DFCH         DRIF         41.281200   5.371213  2.687582  17.545387  -0.917494  0.195909   -0.104553  0.005989  0.011848 
 GEG4C01B     MULT         41.281200   5.371213  2.687582  17.545387  -0.917494  0.195909   -0.104553  0.005989  0.011848 
 GSG5C01B     MULT         41.281200   5.371213  2.687582  17.545387  -0.917494  0.195909   -0.104553  0.005989  0.011848 
 DM1DG5B2     DRIF         41.381200   4.849006  2.534487  17.729936  -0.927992  0.185453   -0.104553  0.006020  0.011237 
 DPWG5B       DRIF         41.581200   3.896450  2.228295  18.105331  -0.948986  0.164543   -0.104553  0.006084  0.010022 
 DM1CG5B2     DRIF         41.847200   2.819321  1.821060  18.617619  -0.976909  0.136732   -0.104553  0.006169  0.008428 
 B1G5C01B     SBEN         44.467200   3.765142  -2.182721  24.225316  -1.151687  0.000361   0.000263  0.007037  0.007590 
 MK2G5C01B    MARK         44.467200   3.765142  -2.182721  24.225316  -1.151687  0.000361   0.000263  0.007037  0.007590 
 GEG5C01B     MULT         44.467200   3.765142  -2.182721  24.225316  -1.151687  0.000361   0.000263  0.007037  0.007590 
 DH4CG6B      DRIF         44.683540   4.781215  -2.513929  24.728122  -1.172462  0.000418   0.000263  0.007110  0.008553 
 GSG6C01B     MULT         44.683540   4.781215  -2.513929  24.728122  -1.172462  0.000418   0.000263  0.007110  0.008553 
 DFCH         DRIF         44.833540   5.569840  -2.743572  25.082021  -1.186867  0.000458   0.000263  0.007161  0.009232 
 CH2YG6C01B   VKICK        44.833540   5.569840  -2.743572  25.082021  -1.186867  0.000458   0.000263  0.007161  0.009232 
 CH2XG6C01B   HKICK        44.833540   5.569840  -2.743572  25.082021  -1.186867  0.000458   0.000263  0.007161  0.009232 
 DFCH         DRIF         44.983540   6.427358  -2.973216  25.440242  -1.201271  0.000497   0.000263  0.007212  0.009917 
 DH4BG6B      DRIF         45.047200   6.812112  -3.070677  25.593577  -1.207385  0.000514   0.000263  0.007233  0.010209 
 SH4G6C01B    SEXT         45.247200   8.101621  -3.376868  26.080372  -1.226591  0.000566   0.000263  0.007302  0.011134 
 DH4AG6B      DRIF         45.336800   8.719047  -3.514042  26.300948  -1.235195  0.000590   0.000263  0.007333  0.011550 
 PH2G6C01B    MONI         45.336800   8.719047  -3.514042  26.300948  -1.235195  0.000590   0.000263  0.007333  0.011550 
 DBPM11       DRIF         45.409700   9.239530  -3.625649  26.481550  -1.242196  0.000609   0.000263  0.007358  0.011890 
 QH3G6C01B    QUAD         45.684700   12.776029  -9.783191  23.839426  10.432754  0.000723   0.000572  0.006981  0.013982 
 DH3BG6B      DRIF         45.867200   16.599012  -11.164663  20.184932  9.591868  0.000827   0.000572  0.006424  0.015937 
 SH3G6C01B    SEXT         46.067200   21.367666  -12.678605  16.532489  8.670350  0.000941   0.000572  0.005813  0.018082 
 DH3AG6B      DRIF         46.257200   26.458802  -14.116850  13.404090  7.794907  0.001050   0.000572  0.005235  0.020121 
