#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:3-BSR-BI{PL2G6C30B_T1:251}SA:X,251,V:3-BSR,,,readback,PL2G6C30B_T1,X,Beam Position Monitor
V:3-BSR-BI{PL2G6C30B_T1:251}SA:Y,251,V:3-BSR,,,readback,PL2G6C30B_T1,Y,Beam Position Monitor
V:3-BSR-MG{SL3G6C30B_T1:253}Fld:SP,253,V:3-BSR,,,setpoint,SL3G6C30B_T1,K,Sextupole
V:3-BSR-MG{SL3G6C30B_T1:253}Fld:I,253,V:3-BSR,,,readback,SL3G6C30B_T1,K,Sextupole
V:3-BSR-MG{CXL2G6C30B_T1:256}Fld:SP,256,V:3-BSR,,,setpoint,CXL2G6C30B_T1,,Horizontal Corrector
V:3-BSR-MG{CXL2G6C30B_T1:256}Fld:I,256,V:3-BSR,,,readback,CXL2G6C30B_T1,,Horizontal Corrector
V:3-BSR-MG{CYL2G6C30B_T1:257}Fld:SP,257,V:3-BSR,,,setpoint,CYL2G6C30B_T1,,Vertical Corrector
V:3-BSR-MG{CYL2G6C30B_T1:257}Fld:I,257,V:3-BSR,,,readback,CYL2G6C30B_T1,,Vertical Corrector
V:3-BSR-MG{QL2G6C30B_T1:260}Fld:SP,260,V:3-BSR,,,setpoint,QL2G6C30B_T1,K,Quadrupole
V:3-BSR-MG{QL2G6C30B_T1:260}Fld:I,260,V:3-BSR,,,readback,QL2G6C30B_T1,K,Quadrupole
V:3-BSR-MG{SL2G6C30B_T1:262}Fld:SP,262,V:3-BSR,,,setpoint,SL2G6C30B_T1,K,Sextupole
V:3-BSR-MG{SL2G6C30B_T1:262}Fld:I,262,V:3-BSR,,,readback,SL2G6C30B_T1,K,Sextupole
V:3-BSR-MG{CXL1G6C30B_T1:265}Fld:SP,265,V:3-BSR,,,setpoint,CXL1G6C30B_T1,,Horizontal Corrector
V:3-BSR-MG{CXL1G6C30B_T1:265}Fld:I,265,V:3-BSR,,,readback,CXL1G6C30B_T1,,Horizontal Corrector
V:3-BSR-MG{CYL1G6C30B_T1:266}Fld:SP,266,V:3-BSR,,,setpoint,CYL1G6C30B_T1,,Vertical Corrector
V:3-BSR-MG{CYL1G6C30B_T1:266}Fld:I,266,V:3-BSR,,,readback,CYL1G6C30B_T1,,Vertical Corrector
V:3-BSR-MG{QL1G6C30B_T1:269}Fld:SP,269,V:3-BSR,,,setpoint,QL1G6C30B_T1,K,Quadrupole
V:3-BSR-MG{QL1G6C30B_T1:269}Fld:I,269,V:3-BSR,,,readback,QL1G6C30B_T1,K,Quadrupole
V:3-BSR-BI{PL1G6C30B_T1:271}SA:X,271,V:3-BSR,,,readback,PL1G6C30B_T1,X,Beam Position Monitor
V:3-BSR-BI{PL1G6C30B_T1:271}SA:Y,271,V:3-BSR,,,readback,PL1G6C30B_T1,Y,Beam Position Monitor
V:3-BSR-MG{SL1G6C30B_T1:273}Fld:SP,273,V:3-BSR,,,setpoint,SL1G6C30B_T1,K,Sextupole
V:3-BSR-MG{SL1G6C30B_T1:273}Fld:I,273,V:3-BSR,,,readback,SL1G6C30B_T1,K,Sextupole
V:3-BSR-MG{FXL1G1C01A_T1:278}Fld:SP,278,V:3-BSR,,,setpoint,FXL1G1C01A_T1,,Horizontal Corrector
V:3-BSR-MG{FXL1G1C01A_T1:278}Fld:I,278,V:3-BSR,,,readback,FXL1G1C01A_T1,,Horizontal Corrector
V:3-BSR-MG{FYL1G1C01A_T1:279}Fld:SP,279,V:3-BSR,,,setpoint,FYL1G1C01A_T1,,Vertical Corrector
